track_id,track_name,artists,track_genre,danceability,energy,acousticness,instrumentalness,valence,tempo,popularity
5Ep7rAVfP6zlpqmEO4RvR0,Ardientes Corazones,Plan 4,heavy-metal,0.538,0.842,0.000333,0.0,0.279,129.012,20
2Efi6CyAYbZxECI9B6AXxR,チェリーブラッサム,Seiko Matsuda,j-idol,0.634,0.806,0.116,5.87e-06,0.573,145.351,24
3f0E5V6vuiJ0R3c0p6auBQ,It's Christmas,Jamie Cullum,j-pop,0.534,0.533,0.5,0.0,0.478,136.854,0
4tT9WxdYc4NFb2XvboCQd7,BPM170の君へ,=LOVE,j-idol,0.544,0.912,0.0085,0.0,0.864,160.0,31
3yQeMeo2fQp6zI5pWi3kY7,Dependente,Sarah Oliveira,groove,0.537,0.46,0.419,0.0,0.154,133.957,28
5Xl7l7ydZdboAYn9H0V44m,"Consolation No. 3, S. 172",Franz Liszt;Jorge Bolet,classical,0.351,0.0076,0.98,0.945,0.0764,130.107,0
4r5Sc0CGZmakYnfUcjQhYO,Eu Sou Livre,Jefte Santos,groove,0.633,0.816,0.0314,0.0,0.806,149.983,29
4xim7BRG8uhiB8d9xmZb4E,Tímida - Ao Vivo,Roupa Nova,mpb,0.497,0.555,0.42,0.0,0.616,78.981,40
5s9JG7OfeYy2HkuEkX3xgd,Long Jump,Marco Carola,minimal-techno,0.815,0.829,2.01e-05,0.896,0.651,124.026,19
5mq2tutI68FRDD8CiYOsYS,Growing Up Beside You,Paolo Nutini,british,0.504,0.51,0.771,7.61e-05,0.0834,95.182,1
5yc6urWlvgTjdrDy46rXH2,Dew Drops,Larry Heard,chicago-house,0.769,0.39,0.00143,0.861,0.24,110.994,9
6en4NMn5Mac3lqJKNxUdaz,The End Of The World,Brenda Lee,rockabilly,0.327,0.223,0.939,0.000197,0.31,176.86,50
40PsiMGYUBM7DaU4lU0ok4,Pamlico,Town Mountain,bluegrass,0.505,0.52,0.77,0.000187,0.579,152.239,21
1FrQqK2Q1nsfuymS8gZfRO,Sand,May of Sorrow,metalcore,0.484,0.941,0.000394,0.0,0.535,180.025,25
4VvhdAJYKkQoVqug73IeOL,God Of Wonders - Live,Passion;Chris Tomlin,world-music,0.336,0.653,0.0301,2.6e-06,0.271,160.529,39
6HdrRVMieDZtv0vldfZxqg,Day Ones,Rarin,sad,0.739,0.639,0.119,0.0,0.482,143.044,47
5KgKVLQdWxXVywCwNXBrku,"Minuit, Chrétiens",Adolphe Adam;Rolando Villazón;Slovak National Symphony Orchestra;Allan Wilson;Apollo Voices;Graham Foote,opera,0.201,0.363,0.967,0.115,0.104,140.477,0
0Q8LxGTnTiAM5uVd5SQewC,Colcha de algodão - Ao vivo,Jorge Aragão,samba,0.543,0.601,0.717,0.00351,0.841,168.564,36
4zaVVgIm8hQbUmgk7r27Km,Yesu Moke - Sunday School Song,Riya Das,malay,0.669,0.636,0.25,0.0,0.943,164.939,25
1Pcb0UUgHmTNQq2rojSq78,Positively Inclined,Wax Tailor;Marina Quaisse;ASM,trip-hop,0.8,0.811,0.463,9.3e-06,0.718,102.452,47
2ayGHwGSw6y3Nvcmvy5MG5,Basta Uma Palavra,Cassiane,gospel,0.67,0.511,0.458,1.35e-05,0.399,130.933,40
4yNoaxUJjnP50AXYoAZx4S,Emotional,Flux Pavilion;Matthew Koma,dub,0.335,0.865,0.0027,0.276,0.411,149.85,51
7GbUWl6qLW1gdngbEV2WDJ,Monster,EXO,k-pop,0.618,0.76,0.0066,0.0,0.541,150.0,67
6DfM5XcXFs6Edm9niEKCfU,Anclao En Paris,Rubén Juárez,tango,0.501,0.354,0.84,0.0,0.577,109.941,18
2HEM4wcGP2nFT1Z2i6jtvo,BxMxC,BABYMETAL,j-idol,0.397,0.921,0.000241,0.00167,0.215,112.606,58
2cSy0PF9D9NNxzBGVFCLyH,Silent Night,Annie Lennox,singer-songwriter,0.171,0.124,0.781,0.0,0.0717,77.914,1
1Xs9iuEBZKS8RnqpFptfcC,We Need Love,Johnny Osbourne,dancehall,0.781,0.507,0.668,3.74e-06,0.767,105.417,28
6FuRLbqyMlk0lugKxoH2qB,Chalein Kahin,Bawari Basanti;Ejaz;Sean,singer-songwriter,0.54,0.455,0.608,0.0,0.203,75.038,38
0WnludiqrAhX07tKySg5eU,Hour of Need,Faithless,trip-hop,0.823,0.571,0.227,0.0268,0.531,104.075,20
2l0u2PkLEmZPYuyeMTvFEp,At the Heart of It All,Surgeon,detroit-techno,0.708,0.972,0.00713,0.938,0.635,133.993,7
7EHAx8WdrqaEWocU3QPAb7,Sirens,Marco Carola,minimal-techno,0.811,0.884,1.07e-05,0.911,0.135,123.995,18
0dBXAJULYoRKbeSNEMhAD3,Galaxy Bounce,The Chemical Brothers,breakbeat,0.723,0.882,7.8e-05,0.618,0.491,120.027,41
491DwnBb3MA8RzyA2E0Skt,"Nenjame (From ""Doctor"")",Anirudh Ravichander,hip-hop,0.45,0.647,0.26,5.8e-05,0.122,139.933,56
0Be7sopyKMv8Y8npsUkax2,Tacones Rojos,Sebastian Yatra,reggaeton,0.748,0.856,0.0824,0.0,0.927,123.031,81
29MNXSZGC5vL3ej4qewiFZ,Need Some1,The Prodigy,breakbeat,0.398,0.988,0.0517,0.552,0.0961,184.076,7
2iZH4DDQr3vpfCLHqbxClj,On Repeat,Robin Schulz;David Guetta,dance,0.609,0.801,0.0246,0.00255,0.202,122.958,0
0klGIUj3IjrVP4fB5eYOjm,Beginner,AKB48,j-idol,0.456,0.984,0.171,0.0,0.597,80.002,19
4b9Wb0qiHD5wHuwACSSEcp,On the Other Side,Laura Osnes,show-tunes,0.506,0.395,0.598,0.0,0.207,79.152,24
02UfBmMerddIN9u4AF7srK,Explode Coração - Ao Vivo,Maria Bethânia,samba,0.517,0.301,0.912,0.0,0.331,75.318,38
4NhusM9qCsDaasS7ggwYke,Touching Silk,Frank Steiner Jr.,new-age,0.169,0.0301,0.891,0.749,0.0374,105.842,50
1dLGG7H9Ya8ATelSli3h7F,Dans på Vejby ängar,Hasse Andersson,ska,0.355,0.672,0.154,0.0,0.77,88.244,33
66V40iz2mphPbYvuJVj13i,drivers license,Thomas Daniel,acoustic,0.439,0.217,0.933,0.0,0.373,144.413,56
493Rk3iS7rs8uPfpnfm95u,El Incomprendido,Farruko;Victor Cardenas;Dj Adoni,latino,0.754,0.841,0.113,0.0,0.541,128.019,71
06ydkFqPLNpZRFVuUxSJ3y,Part of the Process,Morcheeba,trip-hop,0.616,0.525,0.173,0.0125,0.402,155.954,21
4BTIGN5lraOtbKVo9Zg61R,Halogen,Spor,drum-and-bass,0.552,0.93,3.73e-05,0.865,0.799,172.066,17
3otJCDpdQrrH8R1Ik04enX,Any Old Sunday,Chaka Khan,disco,0.641,0.622,0.32,0.000972,0.75,90.022,0
4UjSqTCpBQVahtVONhLFsy,"Piano Sonata No. 2 in B-Flat Minor, Op. 36: II. Non allegro - Lento",Sergei Rachmaninoff;Marko Stuparevic,classical,0.394,0.0578,0.995,0.921,0.0432,65.106,0
5uaIbU3oHHcSOK6WFNK5nj,Apna Time Aayega,Ranveer Singh;Dub Sharma;DIVINE,hip-hop,0.766,0.618,0.0187,0.000115,0.513,95.054,63
5xou5JGquouUhzQQIZDkUb,Harp Seal Pup,Hans Zimmer;Adam Lukas;James Everingham;AURORA,german,0.11,0.112,0.922,0.648,0.0384,83.29,34
1CjuV5ayEioZUc17iR9pGp,Winners Anthem,KSHMR;Zafrir,progressive-house,0.484,0.93,0.0443,0.487,0.128,138.079,44
6OjKyUcgRXYXNMvUM2tziJ,Bad Bad,Roy Woods,soul,0.476,0.526,0.0737,2.99e-06,0.122,87.307,0
10awUNvBh2vqyeQiSFH74Q,Riverbound,Comaduster;Mari Kattman,idm,0.451,0.388,0.108,0.0687,0.127,137.848,9
2aTA29obtnsHS5348cMZUE,Eu Nunca Amei Assim,Felipe Araújo;Grupo Menos É Mais,sertanejo,0.596,0.77,0.446,0.0,0.654,150.09,48
7exOPMHnt1Sd9CjHj72Dq1,Nee - Namah,Thaikkudam Bridge;Niladri Kumar,malay,0.402,0.669,0.241,0.00149,0.364,159.976,32
5Gx270oFh2Dp2sK0VFYO6p,Sitar Hi-Tech,Henrique Camacho,trance,0.356,0.849,0.0106,0.504,0.343,150.004,34
2QhQFThEXVHWz8p6nCIDzk,Recognize,The LOX;Eve,hardcore,0.748,0.778,0.0331,5.44e-05,0.715,92.025,0
5u9KTqF5M1KLr8iZris0G0,Love Sugar,SHINJIRO ATAE (from AAA),j-dance,0.662,0.937,0.000746,0.000116,0.494,126.065,19
0ljEtiprW5mmX5AN3EzOxb,Buyaka,Guaynaa,reggae,0.787,0.738,0.187,0.0,0.733,95.909,0
4y1aOK2HGfM4e746hGd6Y5,The Best Pizza I Ever Had,Blake Rules;Netherfriends,kids,0.933,0.361,0.0163,2.23e-05,0.208,132.024,14
24KBMWfxD8l3z9JwfgU9oL,Birthright,Nora En Pure,deep-house,0.641,0.71,0.0175,0.926,0.0364,122.021,55
2XG8wjGeLpSeE3iublMgcG,Polina,Agents Of Time,techno,0.761,0.635,0.000302,0.918,0.106,124.556,0
1WhGXbgwPOTDPB4ZsJBIDG,Time To Jack,Chip E.,chicago-house,0.813,0.863,0.00024,0.89,0.717,122.93,7
6yotiCxcSIm4HyZdA6wcYH,Hush Hush (Don't Be Shy),Anthony Keyrouz;ZANA,electronic,0.66,0.82,0.0609,0.0,0.343,120.018,60
62CXV36AhtrcxQ8LkpPOol,Feeling Good Again,Watkins Family Hour;Sara Watkins;Sean Watkins,bluegrass,0.527,0.452,0.206,9.86e-06,0.404,104.931,21
2DsDWkKARyqjvXnmYmDksc,Politics,Brian Regan,comedy,0.51,0.922,0.879,0.0,0.0948,82.909,24
59ia7miPHXRH3gP2Eb2WKh,Despedida (Ao Vivo),Ícaro e Gilmar,sertanejo,0.536,0.52,0.761,0.0,0.58,72.598,46
2fboUv3gU9L4njbhBdigid,A Million Dreams - Acoustic,John Adams,acoustic,0.545,0.169,0.953,0.0,0.291,138.199,48
1K97Xe5XiYirpzbKybylwf,Fabulaciones,Peces Raros,electronic,0.601,0.901,0.00312,0.274,0.0995,119.987,37
3osbtV03rQoOfuU0tLW0Gt,With You ~10年、20年経っても~,AK-69,j-pop,0.679,0.597,0.62,0.0,0.516,151.902,38
42Kla7E5bUL6tVqeaXaF2b,The Warp,Midnight Tyrannosaurus,dub,0.542,0.925,0.0158,1.07e-05,0.14,108.535,45
41CgzGD7xlgnJe14R4cqkL,Paris in the Rain,Lauv,electro,0.426,0.408,0.771,7.88e-06,0.528,76.309,73
0XrhARPe6HnuXL6VuBUtEy,Forever - Dimitris Athanasiou Remix,VetLove;Dimitris Athanasiou,groove,0.752,0.557,0.333,0.343,0.467,115.008,39
610JxMmnt76808KsvGKSMh,Respeita Os Caipira - Ao Vivo,Jads & Jadson,sertanejo,0.74,0.851,0.132,0.0,0.492,98.094,51
4fJA1xvjFB4hLy0LRapmXX,Pra Sempre - Ao Vivo,Fernandinho,gospel,0.344,0.687,0.454,0.000655,0.091,143.823,42
6mB30by6NLprtBHdZAKStz,Congresso Celestial,Deise do Vale,gospel,0.503,0.717,0.48,0.0,0.205,141.858,42
60l2m3BD5VY0HSc3xmSpPI,Bleed The Freak,Alice In Chains,grunge,0.245,0.749,0.00252,7.87e-06,0.221,118.363,60
2Ef4mtuC9eXOa37ESXA7QO,Bogotá (Instrumental),Criolo,afrobeat,0.751,0.882,0.00323,0.875,0.872,122.037,19
1mCNkrKh9NEgxJWUqHnEgo,Not Strong Enough,Apocalyptica;Brent Smith,metal,0.354,0.829,0.00183,0.0,0.195,163.958,63
1d27EOdOzpEGWWT59hf1xm,YOU,Jor'dan Armstrong,afrobeat,0.701,0.718,0.00647,0.0,0.608,93.028,27
4CjaNHwSulDYuLIXoPRGNP,Weil sie für immer ist,Mia Julia,party,0.497,0.819,0.001,0.0,0.425,179.927,25
3sHr6yThEKCa7IZ8zY2I17,WTF,Still Woozy,indie-pop,0.715,0.496,0.648,0.213,0.71,76.512,0
67Tjyd7btsdFD5RhCj4R4v,All I Want For Christmas (Is My Two Front Teeth),Nat King Cole Trio,jazz,0.771,0.158,0.895,0.0,0.504,130.072,0
5HhIkPBBueX2cO8OFQqr5q,O minorenne,Patrizio,opera,0.264,0.567,0.0605,5.23e-05,0.314,81.45,19
1odDwh4YwoNXkog8Tw2IhK,Trouble in Paradise,"Sarah, the Illstrumentalist",study,0.643,0.334,0.0975,0.825,0.654,139.009,15
5OOckN7M7qMc6mG8t8xudy,Stadium Parking Lot - Instrumental Version,Apollo 440,breakbeat,0.505,0.982,0.000446,0.0982,0.382,96.009,12
5rM598FC5tn36ucv89ArTj,Early Morning Rain,Nature Sounds,sleep,0.117,0.999,0.307,0.578,0.00104,95.884,32
5DgwplsDLjLqLyQ6aarz1Q,Ik Vaari Aa (Jubin Version),Pritam;Jubin Nautiyal,indian,0.512,0.829,0.234,0.0,0.423,127.899,45
3UA1RyDgvHWgY1upARt81q,The Door,George Jones,honky-tonk,0.381,0.351,0.942,0.00196,0.559,88.492,27
6QNphn62YKaHG1hrnPSoHi,A Gangster's Wife,Ms Krazie;Chino Grande,latin,0.822,0.59,0.429,0.0,0.383,89.995,75
3Yt1ovsh3v3VEzRuhI1TL5,Joro,Wizkid,dancehall,0.686,0.694,0.253,0.000904,0.587,189.998,66
1o6a4OkASt7xexcBBsW3b9,Das Beste am Sonntag,Die jungen Zillertaler,party,0.752,0.945,0.0139,3.78e-06,0.963,130.024,0
0w4Sf61CbM69gDD7RVmaBD,爸爸媽媽,Ronghao Li,mandopop,0.67,0.507,0.699,0.0,0.258,101.921,51
3UolKLgMD5pOSAIl1yW2wz,The Wanderer - Dixon Edit,Romanthony;Dixon,chicago-house,0.845,0.327,0.0568,0.816,0.191,125.994,15
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),Doja Cat;SZA,dance,0.762,0.701,0.235,0.000158,0.742,110.968,82
7K8Lw8ZI3uL0iZoUvMwOoH,Ngga Tahu Diri,Tipe-X,ska,0.546,0.946,0.0106,6.44e-05,0.61,110.067,33
6D44ltvfmdKeIgrTpXUP8o,Shapeshifter,Alessia Cara,electro,0.728,0.577,0.289,0.000637,0.639,95.045,0
66IQ0mkE79F2G8UJoTZ8Wh,All the Heavy Lifting,Mastodon,groove,0.227,0.975,2.82e-06,0.118,0.264,147.172,25
3fwwWSfKOo3cJTAdsy9Vpe,Shhhh With Womb Heartbeats,Silent Knights,sleep,0.292,0.996,0.00137,1.95e-06,0.0228,178.304,39
0cgz0Fa7bivUEwqI5Srj1P,Reverie / Harlequin Forest,Opeth,death-metal,0.302,0.785,0.00368,0.00922,0.256,146.46,47
0pYmuht36fZzdpHMhEB2Al,What $ Love - Roman's Remix,Romanthony;Roman,chicago-house,0.823,0.708,0.0371,5.16e-06,0.478,120.538,5
58VEPMPowIVTIL3t3Vjel7,Bhootni Ke,Pritam;Daler Mehndi,indian,0.773,0.941,0.0949,0.0103,0.863,130.05,41
71lFFVaT9SLEnOAYjQSPsc,justified,Kacey Musgraves,country,0.669,0.552,0.807,0.000874,0.488,100.102,0
4dq7XLDmFHNwc1yqL339qT,Wake Me Up In Paris,Anthony Keyrouz;Paradigm,edm,0.71,0.816,0.0573,4.87e-06,0.363,131.001,73
4tWpw60dsvoFtgwsgpUL7f,Have Yourself A Merry Little Christmas,Sam Smith,pop,0.438,0.178,0.957,1.1e-06,0.344,75.25,0
15u6mZTHUZ0zQrjEV0HRIs,Gardashon Ke Hain Mare Huyiyie,Nusrat Fateh Ali Khan,folk,0.496,0.6,0.407,6.69e-06,0.775,107.36,36
5fNi5vqe3VqWdpeJNTfR66,Kingfish - 2002 Remaster,Randy Newman,disney,0.393,0.411,0.745,6.08e-05,0.348,93.986,22
6AxSYAHq0U6fKykB7uScPl,The Harder They Fall,Koffee,j-dance,0.749,0.887,0.00062,1.35e-05,0.842,110.556,46
5OsKqfRR6OuGGaMcKPG1ti,Hear The Bells,Porter Robinson;Imaginary Cities,dubstep,0.319,0.64,0.424,2.63e-06,0.0805,140.054,44
3ilOSrhV1AzqJDgUnTfAxq,O Tannenbaum - Remastered 1999,Nat King Cole,jazz,0.25,0.228,0.811,0.000166,0.198,90.001,0
2DxXhm3DKm916MDMI30asy,舊夢,Julia Peng,mandopop,0.555,0.257,0.366,1.77e-05,0.219,93.981,33
04VUAll7GYlcZbYhVCuPmV,Far from Worst,Chronic Law,j-dance,0.686,0.56,0.88,0.000419,0.623,99.74,20
5UEZzRsrB4FKw1SIMoMD2y,The Sun,Myd,french,0.773,0.586,0.752,0.762,0.729,126.014,66
3KiexfmhxHvG5IgAElmTkd,I Saw Her Standing There - Remastered 2009,The Beatles,british,0.491,0.801,0.27,0.0,0.971,160.109,67
4KBOPKYE7aLnQrZqLn494s,Ships In The Sky,Wishbone Ash,blues,0.419,0.289,0.134,0.000757,0.236,143.901,0
4RyifJbF8JhMtFdR2Bzslt,Killercrush,Millencolin,ska,0.358,0.93,0.000225,3.13e-05,0.692,110.307,34
6dU8Gdxmk6gMmNQ9xbcqbX,The Good Ones,Gabby Barrett,country,0.519,0.552,0.18,0.0,0.331,89.957,0
5KOn9dVdz24YDPjt8bfpjt,4am,Eden Elf;Ren Avel,acoustic,0.638,0.329,0.979,0.0597,0.475,94.125,49
3jpY2gUd3DOnDr4WPuMRHx,Pure Brown Noise - Loopable with No Fade,Deep Sleep;Relaxation And Meditation;Relax;Ontspanning Sound;Relajacion Del Mar,sleep,0.0,2.01e-05,0.0,0.124,0.0,0.0,36
3TF1Hiof613lWHtFGyAJ8z,Straight To Video,Mindless Self Indulgence,industrial,0.511,0.774,0.019,1.19e-06,0.712,123.061,47
4f93IRG3Pdu01AgWRlReGW,Uno,Edmundo Rivero,tango,0.433,0.489,0.907,0.0,0.494,122.512,16
5Bti0azlFhMattVY76qFr9,Lạ Lùng,Vũ.,singer-songwriter,0.617,0.212,0.958,0.00157,0.219,126.579,58
6ci70PFY04KxK9oFOceqMw,Draw Me Close - Live,Michael W. Smith,world-music,0.46,0.326,0.627,1.41e-05,0.265,72.053,47
3DXGwSmHMAwX0EWnVAyznu,Solidão / Passou da Conta - Ao Vivo,Ícaro e Gilmar,sertanejo,0.454,0.445,0.814,0.0,0.396,141.879,47
4v6edT4Ogf8qXGphyFfg1u,イト,Creep Hyp,j-rock,0.627,0.794,0.0542,0.0,0.95,131.973,35
2QTgzb5jULMFQFyFcAyCjN,Volta pro Meu Coração,João Carreiro & Capataz,sertanejo,0.611,0.528,0.176,0.0,0.292,104.01,49
6beFuzSjwhOKFZp2aqYDdY,Amazing,Aerosmith,hard-rock,0.308,0.747,0.0645,8.27e-05,0.278,139.454,69
4vsAUbPb6q9FpC4AGBFdVh,tomorrow tonight,Loote,electro,0.32,0.5,0.134,0.0,0.142,91.361,65
5LNRJeKmVEQ9lC7GTwXzFy,Gone Too Soon,Sarah Jarosz,bluegrass,0.47,0.268,0.829,2.22e-06,0.131,92.593,22
4pfHImzvWHwf0nvt9eXNVo,Metamorfose Ambulante - Ao Vivo,Maneva,r-n-b,0.697,0.38,0.374,1.51e-06,0.543,139.833,42
3ate1F9BHMzHwd7oWenQfN,It's Real,Olivia Ong,mandopop,0.572,0.601,0.219,0.0,0.346,139.986,22
23Sk57EAmoyDwgerZklJQT,Vontade Dividida - Ao Vivo,Trio Parada Dura;Matogrosso & Mathias,sertanejo,0.704,0.681,0.222,0.0,0.683,112.082,51
4TKNQtJbXfFPez1XICVktJ,No hay amor,Los Apson,rock-n-roll,0.651,0.339,0.611,5.77e-06,0.78,104.965,28
4g5Xzds1GLR8yvuGUGTmwF,Be Good,Off With Their Heads,power-pop,0.468,0.951,0.00269,0.0847,0.241,144.896,27
6djFRgAtFL0qTELYJqVicP,Epiphany - Jin Demo Version,Smyang Piano,piano,0.634,0.0841,0.985,0.943,0.0713,135.918,36
5MY50Gj2K5g3P9vSqYtN0J,Cage The Beast,Adelitas Way,grunge,0.526,0.975,0.000404,1.77e-06,0.427,102.99,60
302I7g0l3jmAbzFu9WBCmu,Tutu - Remix,Camilo;Shakira;Pedro Capó,reggaeton,0.731,0.763,0.385,7.21e-06,0.865,154.116,61
239pFI8OWahs9u71849Lts,Ways & Means,The Green,j-rock,0.892,0.61,0.0712,0.0,0.958,124.945,35
2p5Hto8KF3EBez3XtO3NFM,Moonlight Purpose,Freedom Fighters;Merkaba,trance,0.761,0.473,0.0431,0.871,0.43,135.0,36
0dHF8t7OIhgPele5WRUfWG,I'm Gonna Be (500 Miles),Sleeping At Last,ambient,0.394,0.228,0.966,3.81e-05,0.258,104.625,54
13Po5jWuhBhs739On50f5j,Tá Estourado,Alemão Do Forró,forro,0.832,0.94,0.368,1.13e-06,0.965,97.029,37
39laDigENmKNlT94cnLWwr,Jannat Jahan,Pritam;Rupam Islam,indian,0.61,0.888,0.00716,1.17e-05,0.548,128.024,43
6iOBherEG0U5BjXpMPxA5N,Tod Diya,Kabir Cafe,folk,0.564,0.847,0.0941,1.19e-05,0.828,127.934,32
0zGnDcTwcR85dMKmhftA0C,Segura Na Minha Mão,Jefferson & Suellen,brazil,0.384,0.502,0.486,0.0,0.147,130.042,44
6G699QfN1BWYWXfiblH51F,"Kusu Kusu (From ""Satyameva Jayate 2"")",Tanishk Bagchi;Zahrah S Khan;Dev Negi,pop,0.742,0.911,0.0137,0.00081,0.78,101.0,71
2pQQ6irZMeNEZgrEapvJf8,Walk Around Lake Johnson,"Sarah, the Illstrumentalist",study,0.74,0.43,0.384,0.654,0.345,89.538,10
4N1JHcYR9TskJmqj2g5uA6,Konbini,BigRicePiano,piano,0.557,0.000544,0.996,0.937,0.603,67.505,45
0nfqrZDDv09LW2U6KexnAg,Kevin Saunderson History Elevate - Continuous Mix,Kevin Saunderson,detroit-techno,0.715,0.901,0.00437,0.786,0.304,130.008,5
5p44ydMYAmHKgIh6Efa4Fe,Nuestra Promesa,Dúo Hnos. Gaitán Castro,guitar,0.598,0.628,0.702,0.00279,0.726,78.479,24
1OKlHeAw64sMRBnLqPcccY,Paradise Circus,Hozho,techno,0.747,0.72,0.00832,0.621,0.206,127.006,41
7kHMm6znSXA56yCV5Zjfub,失憶的金魚,Rainie Yang,mandopop,0.649,0.547,0.836,0.0,0.375,108.974,0
6wdI9sg2VdgjqSg0ozu9PK,Afro Trap Pt. 7 (La puissance),MHD,french,0.97,0.806,0.0955,0.0,0.815,120.003,65
5EV90DvQQH2lu6Hv6c2r5m,走れ!ペンギン(歌:team 4),AKB48,j-idol,0.39,0.981,0.03,0.00699,0.433,158.054,24
3Dr0xDJwXy6JkiHNJfv5zd,Wish It Was You,Audien;Cate Downey,progressive-house,0.644,0.616,0.0927,0.0,0.467,124.957,63
7xxNWFNT7vm9IXZ7r1fjLB,Be Alright (Slowed +Reverb),fenekot,chill,0.62,0.361,0.958,0.184,0.266,110.638,47
2XLjGMZHV31QJGwbALFj95,Ja Tujhko,Deepak Rathore Project,indian,0.375,0.559,0.367,0.0,0.408,159.93,42
3hyNia7VDRIF3XhSGWJPVo,Angola (versão carnaval),Cesária Evora,world-music,0.691,0.651,0.501,1.51e-05,0.552,105.997,24
7A7IsQQPGxlfHiDDl2Kct7,Paasa,Kurei,acoustic,0.737,0.238,0.891,0.00336,0.234,119.085,26
73QyyUMMvtNELmULI4FOsp,You for Me,Sigala;Rita Ora,house,0.733,0.886,0.0481,1.81e-06,0.696,126.031,73
