origem,destino,tipo_conexao,justificativa,peso
CNF,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,102
CWB,MAO,hub_nacional,conexao entre hubs nacionais de alta demanda,237
CWB,FOR,hub_nacional,conexao entre hubs nacionais de alta demanda,230
CWB,GIG,hub_nacional,conexao entre hubs nacionais de alta demanda,80
CWB,GRU,hub_nacional,conexao entre hubs nacionais de alta demanda,57
CWB,VCP,hub_nacional,conexao entre hubs nacionais de alta demanda,56
CWB,POA,hub_nacional,conexao entre hubs nacionais de alta demanda,70
CWB,REC,hub_nacional,conexao entre hubs nacionais de alta demanda,214
CWB,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,81
CWB,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,55
CWB,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,165
MAO,FOR,hub_nacional,conexao entre hubs nacionais de alta demanda,209
MAO,GIG,hub_nacional,conexao entre hubs nacionais de alta demanda,244
MAO,GRU,hub_nacional,conexao entre hubs nacionais de alta demanda,232
MAO,VCP,hub_nacional,conexao entre hubs nacionais de alta demanda,227
MAO,POA,hub_nacional,conexao entre hubs nacionais de alta demanda,265
MAO,REC,hub_nacional,conexao entre hubs nacionais de alta demanda,243
MAO,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,245
MAO,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,233
MAO,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,227
FOR,GIG,hub_nacional,conexao entre hubs nacionais de alta demanda,193
FOR,GRU,hub_nacional,conexao entre hubs nacionais de alta demanda,206
FOR,VCP,hub_nacional,conexao entre hubs nacionais de alta demanda,205
FOR,POA,hub_nacional,conexao entre hubs nacionais de alta demanda,270
FOR,REC,hub_nacional,conexao entre hubs nacionais de alta demanda,77
FOR,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,194
FOR,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,208
FOR,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,106
GIG,GRU,hub_nacional,conexao entre hubs nacionais de alta demanda,55
GIG,VCP,hub_nacional,conexao entre hubs nacionais de alta demanda,60
GIG,POA,hub_nacional,conexao entre hubs nacionais de alta demanda,114
GIG,REC,hub_nacional,conexao entre hubs nacionais de alta demanda,169
GIG,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,31
GIG,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,57
GIG,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,121
GRU,VCP,hub_nacional,conexao entre hubs nacionais de alta demanda,36
GRU,POA,hub_nacional,conexao entre hubs nacionais de alta demanda,95
GRU,REC,hub_nacional,conexao entre hubs nacionais de alta demanda,188
GRU,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,56
GRU,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,32
GRU,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,139
VCP,POA,hub_nacional,conexao entre hubs nacionais de alta demanda,96
VCP,REC,hub_nacional,conexao entre hubs nacionais de alta demanda,188
VCP,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,61
VCP,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,36
VCP,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,139
POA,REC,hub_nacional,conexao entre hubs nacionais de alta demanda,252
POA,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,114
POA,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,93
POA,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,204
REC,SDU,hub_nacional,conexao entre hubs nacionais de alta demanda,170
REC,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,190
REC,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,79
SDU,CGH,hub_nacional,conexao entre hubs nacionais de alta demanda,57
SDU,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,122
CGH,SSA,hub_nacional,conexao entre hubs nacionais de alta demanda,141
VDC,SSA,hub_regional,conexao ao hub nacional mais proximo,57
VDC,CNF,hub_regional,conexao ao hub nacional mais proximo,76
VDC,JJD,regional,voo regional entre aeroportos da mesma regiao,130
CDJ,BEL,hub_regional,conexao ao hub nacional mais proximo,89
CDJ,BSB,hub_regional,conexao ao hub nacional mais proximo,94
CDJ,RBR,regional,voo regional entre aeroportos da mesma regiao,184
ARX,FOR,hub_regional,conexao ao hub nacional mais proximo,39
ARX,REC,hub_regional,conexao ao hub nacional mais proximo,68
JTC,VCP,hub_regional,conexao ao hub nacional mais proximo,46
JTC,CGH,hub_regional,conexao ao hub nacional mais proximo,52
JTC,ARU,regional,voo regional entre aeroportos da mesma regiao,44
AQA,VCP,hub_regional,conexao ao hub nacional mais proximo,43
AQA,GRU,hub_regional,conexao ao hub nacional mais proximo,49
AQA,MII,regional,voo regional entre aeroportos da mesma regiao,44
AJU,SSA,hub_regional,conexao ao hub nacional mais proximo,49
AJU,REC,hub_regional,conexao ao hub nacional mais proximo,60
AFL,MAO,hub_regional,conexao ao hub nacional mais proximo,96
AFL,BSB,hub_regional,conexao ao hub nacional mais proximo,113
AFL,CGB,regional,voo regional entre aeroportos da mesma regiao,78
ARU,VCP,hub_regional,conexao ao hub nacional mais proximo,60
ARU,CGH,hub_regional,conexao ao hub nacional mais proximo,66
ARU,MII,regional,voo regional entre aeroportos da mesma regiao,40
AAX,CNF,hub_regional,conexao ao hub nacional mais proximo,54
AAX,VCP,hub_regional,conexao ao hub nacional mais proximo,59
AAX,GUJ,regional,voo regional entre aeroportos da mesma regiao,60
BGX,POA,hub_regional,conexao ao hub nacional mais proximo,54
BGX,CWB,hub_regional,conexao ao hub nacional mais proximo,91
BGX,LDB,regional,voo regional entre aeroportos da mesma regiao,101
PLU,CNF,hub_regional,conexao ao hub nacional mais proximo,32
PLU,GIG,hub_regional,conexao ao hub nacional mais proximo,55
BFH,CWB,hub_regional,conexao ao hub nacional mais proximo,31
BFH,CGH,hub_regional,conexao ao hub nacional mais proximo,55
BFH,URG,regional,voo regional entre aeroportos da mesma regiao,98
BAT,VCP,hub_regional,conexao ao hub nacional mais proximo,53
BAT,GRU,hub_regional,conexao ao hub nacional mais proximo,59
BAT,AQA,regional,voo regional entre aeroportos da mesma regiao,41
BVB,MAO,hub_regional,conexao ao hub nacional mais proximo,79
BVB,BEL,hub_regional,conexao ao hub nacional mais proximo,138
BVB,SJL,regional,voo regional entre aeroportos da mesma regiao,88
BPG,BSB,hub_regional,conexao ao hub nacional mais proximo,66
BPG,VCP,hub_regional,conexao ao hub nacional mais proximo,102
BPG,GYN,regional,voo regional entre aeroportos da mesma regiao,56
BZC,SDU,hub_regional,conexao ao hub nacional mais proximo,39
BZC,GIG,hub_regional,conexao ao hub nacional mais proximo,40
BZC,UBA,regional,voo regional entre aeroportos da mesma regiao,83
CAC,CWB,hub_regional,conexao ao hub nacional mais proximo,63
CAC,POA,hub_regional,conexao ao hub nacional mais proximo,75
CAC,LAJ,regional,voo regional entre aeroportos da mesma regiao,63
CGR,CWB,hub_regional,conexao ao hub nacional mais proximo,90
CGR,VCP,hub_regional,conexao ao hub nacional mais proximo,92
CGR,MQH,regional,voo regional entre aeroportos da mesma regiao,107
XAP,POA,hub_regional,conexao ao hub nacional mais proximo,56
XAP,CWB,hub_regional,conexao ao hub nacional mais proximo,59
XAP,PGZ,regional,voo regional entre aeroportos da mesma regiao,55
CLN,BEL,hub_regional,conexao ao hub nacional mais proximo,80
CLN,BSB,hub_regional,conexao ao hub nacional mais proximo,101
CLN,MVF,regional,voo regional entre aeroportos da mesma regiao,116
CKS,BEL,hub_regional,conexao ao hub nacional mais proximo,72
CKS,BSB,hub_regional,conexao ao hub nacional mais proximo,113
CKS,ITA,regional,voo regional entre aeroportos da mesma regiao,105
CCM,POA,hub_regional,conexao ao hub nacional mais proximo,47
CCM,CWB,hub_regional,conexao ao hub nacional mais proximo,57
CCM,EEA,regional,voo regional entre aeroportos da mesma regiao,41
QNS,POA,hub_regional,conexao ao hub nacional mais proximo,30
QNS,CWB,hub_regional,conexao ao hub nacional mais proximo,70
QNS,CCM,regional,voo regional entre aeroportos da mesma regiao,46
CAW,SDU,hub_regional,conexao ao hub nacional mais proximo,48
CAW,GIG,hub_regional,conexao ao hub nacional mais proximo,48
CAW,RRJ,regional,voo regional entre aeroportos da mesma regiao,49
CMG,BSB,hub_regional,conexao ao hub nacional mais proximo,112
CMG,CWB,hub_regional,conexao ao hub nacional mais proximo,115
CMG,PMG,regional,voo regional entre aeroportos da mesma regiao,63
CRQ,SSA,hub_regional,conexao ao hub nacional mais proximo,70
CRQ,CNF,hub_regional,conexao ao hub nacional mais proximo,71
CRQ,PHB,regional,voo regional entre aeroportos da mesma regiao,155
CXJ,POA,hub_regional,conexao ao hub nacional mais proximo,37
CXJ,CWB,hub_regional,conexao ao hub nacional mais proximo,64
CXJ,PGZ,regional,voo regional entre aeroportos da mesma regiao,64
CGB,BSB,hub_regional,conexao ao hub nacional mais proximo,96
CGB,VCP,hub_regional,conexao ao hub nacional mais proximo,124
CGB,MQH,regional,voo regional entre aeroportos da mesma regiao,96
CZS,MAO,hub_regional,conexao ao hub nacional mais proximo,142
CZS,BEL,hub_regional,conexao ao hub nacional mais proximo,238
CZS,BVH,regional,voo regional entre aeroportos da mesma regiao,142
PPB,CWB,hub_regional,conexao ao hub nacional mais proximo,63
PPB,VCP,hub_regional,conexao ao hub nacional mais proximo,64
PPB,AAX,regional,voo regional entre aeroportos da mesma regiao,71
JCR,MAO,hub_regional,conexao ao hub nacional mais proximo,63
JCR,BEL,hub_regional,conexao ao hub nacional mais proximo,117
JCR,ITB,regional,voo regional entre aeroportos da mesma regiao,52
IGU,CWB,hub_regional,conexao ao hub nacional mais proximo,70
IGU,POA,hub_regional,conexao ao hub nacional mais proximo,74
IGU,PFB,regional,voo regional entre aeroportos da mesma regiao,57
FLN,CWB,hub_regional,conexao ao hub nacional mais proximo,48
FLN,POA,hub_regional,conexao ao hub nacional mais proximo,57
FLN,EEA,regional,voo regional entre aeroportos da mesma regiao,43
FEN,REC,hub_regional,conexao ao hub nacional mais proximo,71
FEN,FOR,hub_regional,conexao ao hub nacional mais proximo,81
FEN,AJU,regional,voo regional entre aeroportos da mesma regiao,101
GJM,MAO,hub_regional,conexao ao hub nacional mais proximo,108
GJM,BSB,hub_regional,conexao ao hub nacional mais proximo,177
GJM,TFF,regional,voo regional entre aeroportos da mesma regiao,92
GYN,BSB,hub_regional,conexao ao hub nacional mais proximo,42
GYN,CNF,hub_regional,conexao ao hub nacional mais proximo,79
GYN,CGR,regional,voo regional entre aeroportos da mesma regiao,84
GVR,CNF,hub_regional,conexao ao hub nacional mais proximo,47
GVR,GIG,hub_regional,conexao ao hub nacional mais proximo,64
GVR,CGH,hub_regional,conexao ao hub nacional mais proximo,84
GUJ,GRU,hub_regional,conexao ao hub nacional mais proximo,41
GUJ,CGH,hub_regional,conexao ao hub nacional mais proximo,43
GUJ,UDI,regional,voo regional entre aeroportos da mesma regiao,70
ATM,BEL,hub_regional,conexao ao hub nacional mais proximo,65
ATM,MAO,hub_regional,conexao ao hub nacional mais proximo,95
ATM,TMT,regional,voo regional entre aeroportos da mesma regiao,68
ITA,MAO,hub_regional,conexao ao hub nacional mais proximo,43
ITA,BEL,hub_regional,conexao ao hub nacional mais proximo,115
ITA,JCR,regional,voo regional entre aeroportos da mesma regiao,57
ITB,MAO,hub_regional,conexao ao hub nacional mais proximo,65
ITB,BEL,hub_regional,conexao ao hub nacional mais proximo,97
ITB,ATM,regional,voo regional entre aeroportos da mesma regiao,62
IOS,SSA,hub_regional,conexao ao hub nacional mais proximo,47
IOS,CNF,hub_regional,conexao ao hub nacional mais proximo,86
IOS,NAT,regional,voo regional entre aeroportos da mesma regiao,111
IPN,CNF,hub_regional,conexao ao hub nacional mais proximo,42
IPN,GIG,hub_regional,conexao ao hub nacional mais proximo,58
IPN,SSZ,regional,voo regional entre aeroportos da mesma regiao,77
IMP,BEL,hub_regional,conexao ao hub nacional mais proximo,66
IMP,FOR,hub_regional,conexao ao hub nacional mais proximo,106
IMP,LAZ,regional,voo regional entre aeroportos da mesma regiao,103
JJD,FOR,hub_regional,conexao ao hub nacional mais proximo,47
JJD,REC,hub_regional,conexao ao hub nacional mais proximo,93
JDF,GIG,hub_regional,conexao ao hub nacional mais proximo,39
JDF,SDU,hub_regional,conexao ao hub nacional mais proximo,39
JDF,MEA,regional,voo regional entre aeroportos da mesma regiao,43
JHF,VCP,hub_regional,conexao ao hub nacional mais proximo,34
JHF,CGH,hub_regional,conexao ao hub nacional mais proximo,34
JHF,VIX,regional,voo regional entre aeroportos da mesma regiao,89
JPA,REC,hub_regional,conexao ao hub nacional mais proximo,38
JPA,FOR,hub_regional,conexao ao hub nacional mais proximo,71
JPA,PNZ,regional,voo regional entre aeroportos da mesma regiao,80
RRJ,SDU,hub_regional,conexao ao hub nacional mais proximo,32
RRJ,GIG,hub_regional,conexao ao hub nacional mais proximo,32
JOI,CWB,hub_regional,conexao ao hub nacional mais proximo,36
JOI,CGH,hub_regional,conexao ao hub nacional mais proximo,57
JOI,FLN,regional,voo regional entre aeroportos da mesma regiao,42
CPV,REC,hub_regional,conexao ao hub nacional mais proximo,41
CPV,FOR,hub_regional,conexao ao hub nacional mais proximo,66
CPV,THE,regional,voo regional entre aeroportos da mesma regiao,90
LAJ,POA,hub_regional,conexao ao hub nacional mais proximo,50
LAJ,CWB,hub_regional,conexao ao hub nacional mais proximo,51
LAJ,MGF,regional,voo regional entre aeroportos da mesma regiao,68
LIP,VCP,hub_regional,conexao ao hub nacional mais proximo,53
LIP,CGH,hub_regional,conexao ao hub nacional mais proximo,59
LIP,SDU,hub_regional,conexao ao hub nacional mais proximo,82
LDB,CWB,hub_regional,conexao ao hub nacional mais proximo,54
LDB,VCP,hub_regional,conexao ao hub nacional mais proximo,61
LDB,NVT,regional,voo regional entre aeroportos da mesma regiao,65
LAZ,SSA,hub_regional,conexao ao hub nacional mais proximo,71
LAZ,BSB,hub_regional,conexao ao hub nacional mais proximo,72
LAZ,JJD,regional,voo regional entre aeroportos da mesma regiao,120
MAB,BEL,hub_regional,conexao ao hub nacional mais proximo,64
MAB,BSB,hub_regional,conexao ao hub nacional mais proximo,118
MAB,OYK,regional,voo regional entre aeroportos da mesma regiao,110
MQH,BSB,hub_regional,conexao ao hub nacional mais proximo,49
MQH,CNF,hub_regional,conexao ao hub nacional mais proximo,91
MQH,CMG,regional,voo regional entre aeroportos da mesma regiao,118
MEU,BEL,hub_regional,conexao ao hub nacional mais proximo,65
MEU,MAO,hub_regional,conexao ao hub nacional mais proximo,95
MEU,PLL,regional,voo regional entre aeroportos da mesma regiao,94
MEA,SDU,hub_regional,conexao ao hub nacional mais proximo,42
MEA,GIG,hub_regional,conexao ao hub nacional mais proximo,42
MEA,BAT,regional,voo regional entre aeroportos da mesma regiao,85
MGF,CWB,hub_regional,conexao ao hub nacional mais proximo,58
MGF,VCP,hub_regional,conexao ao hub nacional mais proximo,68
MGF,NVT,regional,voo regional entre aeroportos da mesma regiao,68
MOC,CNF,hub_regional,conexao ao hub nacional mais proximo,54
MOC,BSB,hub_regional,conexao ao hub nacional mais proximo,64
MOC,GIG,hub_regional,conexao ao hub nacional mais proximo,81
MII,VCP,hub_regional,conexao ao hub nacional mais proximo,53
MII,CGH,hub_regional,conexao ao hub nacional mais proximo,58
MII,SJK,regional,voo regional entre aeroportos da mesma regiao,62
PLL,MAO,hub_regional,conexao ao hub nacional mais proximo,31
PLL,BEL,hub_regional,conexao ao hub nacional mais proximo,127
PLL,MAB,regional,voo regional entre aeroportos da mesma regiao,122
MCZ,REC,hub_regional,conexao ao hub nacional mais proximo,44
MCZ,SSA,hub_regional,conexao ao hub nacional mais proximo,65
MCP,BEL,hub_regional,conexao ao hub nacional mais proximo,55
MCP,MAO,hub_regional,conexao ao hub nacional mais proximo,109
MCP,AUX,regional,voo regional entre aeroportos da mesma regiao,95
MVF,FOR,hub_regional,conexao ao hub nacional mais proximo,45
MVF,REC,hub_regional,conexao ao hub nacional mais proximo,62
MVF,FEN,regional,voo regional entre aeroportos da mesma regiao,73
RTE,CGH,hub_regional,conexao ao hub nacional mais proximo,31
RTE,GRU,hub_regional,conexao ao hub nacional mais proximo,31
RTE,UDI,regional,voo regional entre aeroportos da mesma regiao,71
MNX,MAO,hub_regional,conexao ao hub nacional mais proximo,55
MNX,BEL,hub_regional,conexao ao hub nacional mais proximo,143
MNX,CZS,regional,voo regional entre aeroportos da mesma regiao,126
NVT,CWB,hub_regional,conexao ao hub nacional mais proximo,42
NVT,CGH,hub_regional,conexao ao hub nacional mais proximo,61
NVT,CXJ,regional,voo regional entre aeroportos da mesma regiao,57
GEL,POA,hub_regional,conexao ao hub nacional mais proximo,56
GEL,CWB,hub_regional,conexao ao hub nacional mais proximo,74
GEL,RIA,regional,voo regional entre aeroportos da mesma regiao,42
OYK,BEL,hub_regional,conexao ao hub nacional mais proximo,82
OYK,MAO,hub_regional,conexao ao hub nacional mais proximo,120
OYK,TRQ,regional,voo regional entre aeroportos da mesma regiao,217
PHB,FOR,hub_regional,conexao ao hub nacional mais proximo,58
PHB,BEL,hub_regional,conexao ao hub nacional mais proximo,88
PHB,SLZ,regional,voo regional entre aeroportos da mesma regiao,51
POO,VCP,hub_regional,conexao ao hub nacional mais proximo,41
POO,GRU,hub_regional,conexao ao hub nacional mais proximo,43
POO,PLU,regional,voo regional entre aeroportos da mesma regiao,56
PFB,POA,hub_regional,conexao ao hub nacional mais proximo,47
PFB,CWB,hub_regional,conexao ao hub nacional mais proximo,63
PFB,EEA,regional,voo regional entre aeroportos da mesma regiao,45
PGZ,CWB,hub_regional,conexao ao hub nacional mais proximo,38
PGZ,VCP,hub_regional,conexao ao hub nacional mais proximo,59
PGZ,TEC,regional,voo regional entre aeroportos da mesma regiao,38
PMW,BSB,hub_regional,conexao ao hub nacional mais proximo,77
PMW,BEL,hub_regional,conexao ao hub nacional mais proximo,104
PMW,MCP,regional,voo regional entre aeroportos da mesma regiao,119
PET,POA,hub_regional,conexao ao hub nacional mais proximo,47
PET,CWB,hub_regional,conexao ao hub nacional mais proximo,87
PET,TEC,regional,voo regional entre aeroportos da mesma regiao,93
PNZ,SSA,hub_regional,conexao ao hub nacional mais proximo,65
PNZ,REC,hub_regional,conexao ao hub nacional mais proximo,78
PNZ,LAZ,regional,voo regional entre aeroportos da mesma regiao,70
PNB,BSB,hub_regional,conexao ao hub nacional mais proximo,73
PNB,BEL,hub_regional,conexao ao hub nacional mais proximo,108
PNB,MEU,regional,voo regional entre aeroportos da mesma regiao,119
PMG,CWB,hub_regional,conexao ao hub nacional mais proximo,86
PMG,VCP,hub_regional,conexao ao hub nacional mais proximo,96
PMG,BPG,regional,voo regional entre aeroportos da mesma regiao,92
BPS,SSA,hub_regional,conexao ao hub nacional mais proximo,60
BPS,CNF,hub_regional,conexao ao hub nacional mais proximo,77
BPS,THE,regional,voo regional entre aeroportos da mesma regiao,130
PVH,MAO,hub_regional,conexao ao hub nacional mais proximo,87
PVH,BEL,hub_regional,conexao ao hub nacional mais proximo,172
PVH,TRQ,regional,voo regional entre aeroportos da mesma regiao,87
RBR,MAO,hub_regional,conexao ao hub nacional mais proximo,116
RBR,BSB,hub_regional,conexao ao hub nacional mais proximo,200
RBR,GJM,regional,voo regional entre aeroportos da mesma regiao,53
ROO,BSB,hub_regional,conexao ao hub nacional mais proximo,85
ROO,VCP,hub_regional,conexao ao hub nacional mais proximo,110
ROO,AFL,regional,voo regional entre aeroportos da mesma regiao,87
RAO,VCP,hub_regional,conexao ao hub nacional mais proximo,46
RAO,GRU,hub_regional,conexao ao hub nacional mais proximo,52
RAO,IZA,regional,voo regional entre aeroportos da mesma regiao,66
SNZ,GIG,hub_regional,conexao ao hub nacional mais proximo,34
SNZ,SDU,hub_regional,conexao ao hub nacional mais proximo,34
SNZ,JTC,regional,voo regional entre aeroportos da mesma regiao,72
NAT,REC,hub_regional,conexao ao hub nacional mais proximo,50
NAT,FOR,hub_regional,conexao ao hub nacional mais proximo,61
NAT,CRQ,regional,voo regional entre aeroportos da mesma regiao,134
SJK,GRU,hub_regional,conexao ao hub nacional mais proximo,35
SJK,CGH,hub_regional,conexao ao hub nacional mais proximo,37
SJK,GUJ,regional,voo regional entre aeroportos da mesma regiao,36
SLZ,BEL,hub_regional,conexao ao hub nacional mais proximo,67
SLZ,FOR,hub_regional,conexao ao hub nacional mais proximo,79
SLZ,IOS,regional,voo regional entre aeroportos da mesma regiao,141
RIA,POA,hub_regional,conexao ao hub nacional mais proximo,48
RIA,CWB,hub_regional,conexao ao hub nacional mais proximo,78
RIA,CXJ,regional,voo regional entre aeroportos da mesma regiao,49
STM,MAO,hub_regional,conexao ao hub nacional mais proximo,74
STM,BEL,hub_regional,conexao ao hub nacional mais proximo,83
STM,MNX,regional,voo regional entre aeroportos da mesma regiao,91
SJP,VCP,hub_regional,conexao ao hub nacional mais proximo,55
SJP,GRU,hub_regional,conexao ao hub nacional mais proximo,61
SJP,SDU,hub_regional,conexao ao hub nacional mais proximo,81
SSZ,CGH,hub_regional,conexao ao hub nacional mais proximo,34
SSZ,GRU,hub_regional,conexao ao hub nacional mais proximo,34
SSZ,SNZ,regional,voo regional entre aeroportos da mesma regiao,51
TMT,MAO,hub_regional,conexao ao hub nacional mais proximo,63
TMT,BEL,hub_regional,conexao ao hub nacional mais proximo,96
TMT,PNB,regional,voo regional entre aeroportos da mesma regiao,132
THE,FOR,hub_regional,conexao ao hub nacional mais proximo,67
THE,BEL,hub_regional,conexao ao hub nacional mais proximo,86
TFF,MAO,hub_regional,conexao ao hub nacional mais proximo,69
TFF,BEL,hub_regional,conexao ao hub nacional mais proximo,166
TFF,TMT,regional,voo regional entre aeroportos da mesma regiao,101
TRQ,MAO,hub_regional,conexao ao hub nacional mais proximo,129
TRQ,BEL,hub_regional,conexao ao hub nacional mais proximo,224
TRQ,RBR,regional,voo regional entre aeroportos da mesma regiao,58
TEC,CWB,hub_regional,conexao ao hub nacional mais proximo,45
TEC,VCP,hub_regional,conexao ao hub nacional mais proximo,59
TEC,BGX,regional,voo regional entre aeroportos da mesma regiao,94
TBT,MAO,hub_regional,conexao ao hub nacional mais proximo,113
TBT,BEL,hub_regional,conexao ao hub nacional mais proximo,210
TBT,PLL,regional,voo regional entre aeroportos da mesma regiao,113
TUR,BEL,hub_regional,conexao ao hub nacional mais proximo,53
TUR,MAO,hub_regional,conexao ao hub nacional mais proximo,116
TUR,PLL,regional,voo regional entre aeroportos da mesma regiao,116
SJL,MAO,hub_regional,conexao ao hub nacional mais proximo,93
SJL,BEL,hub_regional,conexao ao hub nacional mais proximo,185
SJL,PLL,regional,voo regional entre aeroportos da mesma regiao,93
PAV,SSA,hub_regional,conexao ao hub nacional mais proximo,59
PAV,REC,hub_regional,conexao ao hub nacional mais proximo,59
PAV,FEC,regional,voo regional entre aeroportos da mesma regiao,54
URG,POA,hub_regional,conexao ao hub nacional mais proximo,72
URG,CWB,hub_regional,conexao ao hub nacional mais proximo,98
URG,EEA,regional,voo regional entre aeroportos da mesma regiao,82
UDI,BSB,hub_regional,conexao ao hub nacional mais proximo,55
UDI,CNF,hub_regional,conexao ao hub nacional mais proximo,64
UDI,PPB,regional,voo regional entre aeroportos da mesma regiao,67
UBA,VCP,hub_regional,conexao ao hub nacional mais proximo,58
UBA,CNF,hub_regional,conexao ao hub nacional mais proximo,61
UBA,JHF,regional,voo regional entre aeroportos da mesma regiao,61
VAG,GRU,hub_regional,conexao ao hub nacional mais proximo,47
VAG,VCP,hub_regional,conexao ao hub nacional mais proximo,47
VAG,SNZ,regional,voo regional entre aeroportos da mesma regiao,48
BVH,MAO,hub_regional,conexao ao hub nacional mais proximo,111
BVH,BSB,hub_regional,conexao ao hub nacional mais proximo,132
BVH,OYK,regional,voo regional entre aeroportos da mesma regiao,184
VIX,CNF,hub_regional,conexao ao hub nacional mais proximo,59
VIX,GIG,hub_regional,conexao ao hub nacional mais proximo,61
VIX,PPB,regional,voo regional entre aeroportos da mesma regiao,118
IZA,GIG,hub_regional,conexao ao hub nacional mais proximo,41
IZA,SDU,hub_regional,conexao ao hub nacional mais proximo,42
IZA,MII,regional,voo regional entre aeroportos da mesma regiao,83
FEC,SSA,hub_regional,conexao ao hub nacional mais proximo,38
FEC,REC,hub_regional,conexao ao hub nacional mais proximo,77
FEC,LAZ,regional,voo regional entre aeroportos da mesma regiao,68
JSO,FOR,hub_regional,conexao ao hub nacional mais proximo,44
JSO,REC,hub_regional,conexao ao hub nacional mais proximo,88
JSO,JPA,regional,voo regional entre aeroportos da mesma regiao,83
EEA,CWB,hub_regional,conexao ao hub nacional mais proximo,50
EEA,POA,hub_regional,conexao ao hub nacional mais proximo,51
EEA,CAC,regional,voo regional entre aeroportos da mesma regiao,62
LHN,CNF,hub_regional,conexao ao hub nacional mais proximo,61
LHN,GIG,hub_regional,conexao ao hub nacional mais proximo,68
LHN,JDF,regional,voo regional entre aeroportos da mesma regiao,63
AUX,BEL,hub_regional,conexao ao hub nacional mais proximo,79
AUX,BSB,hub_regional,conexao ao hub nacional mais proximo,102
